State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Age_Group_0_29,Age_Group_30_49,Age_Group_50,sex_ratio,literacy_rate
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,29566,18926,0,46380,31265,1970,8466,328,36087,71,5556,53026,22362,8493,100.0,100.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,36777,27969,0,92783,15881,2218,29969,577,3311,49,60005,70415,28305,13469,100.0,100.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,499038,398020,95320,27344,492966,1198036,1020,112,49,399,14,1072312,405046,215355,100.0,100.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,237114,196964,82784,18835,359145,371033,5924,384,236,871,9,458796,184849,94939,100.0,100.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,639946,534182,264897,17569,1038985,654816,37635,280,341,1673,98,1048990,444899,241776,100.0,100.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,268666,218373,40260,8419,327322,597392,1688,431,57,724,19,583436,226525,118102,100.0,100.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,237761,185267,44225,325560,655052,13475,8711,297,911,167,6315,434221,169630,82051,100.0,100.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,491361,393170,58876,102871,1198401,64526,52968,2261,4673,1055,46,767147,371864,186774,100.0,100.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,304302,259275,45094,231570,347878,579929,77862,771,194,477,103,650509,239831,117427,100.0,100.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,396475,325289,62298,111765,917426,90312,50582,1131,3863,530,1347,629153,289085,148244,100.0,100.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,226836,180530,70659,691,251194,397653,8480,84,490,247,636,419921,156243,82841,100.0,100.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,432335,362594,88665,139971,1008219,54684,21051,1540,2378,719,578,604908,315550,171062,100.0,100.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,550219,445100,107827,182038,877495,601784,33297,319,185,1330,55,895775,408232,212740,100.0,100.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,314253,242961,44961,538738,766000,20290,157789,370,6260,397,3568,618633,233739,103123,100.0,100.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,435942,359355,157890,1940,521962,692489,11990,114,446,524,110,779850,284368,163990,100.0,100.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,275220,214085,29570,278665,529068,252271,101091,93,1718,396,123,552671,224715,108956,100.0,100.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,375552,307934,81840,249426,797130,193476,46217,412,1074,250,2410,639385,268872,133615,100.0,100.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,921850,788866,266350,115153,1225246,1563203,26844,3036,1073,1162,61,1778277,678034,366112,100.0,100.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,293184,238587,60216,23364,491582,277488,429,62,27,1004,9,442061,211320,117809,100.0,100.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,620525,488047,109130,232207,1422824,350536,138166,1363,5088,1003,221,1159991,501239,261648,100.0,100.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,453449,344873,37688,82066,1181347,48373,76877,1999,16228,837,395,799874,352158,175377,100.0,100.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,727643,468125,382654,38848,1593525,1207442,4116,371,187,1910,63,1872943,612012,324091,100.0,0.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,868733,597269,612064,1033,2291133,237353,2218,295,334,775,19,1626969,564571,340948,100.0,100.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,1430936,1072901,539368,143366,2545438,786677,15991,5142,309093,30981,1005,2211996,909771,571932,100.0,100.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,1318684,1221389,1466002,868733,597269,612064,1033,2291133,237353,2218,295,334,775,19,1626969,564571,340948,100.0,100.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,1924469,1776813,2503837,1430936,1072901,539368,143366,2545438,786677,15991,5142,309093,30981,1005,2211996,909771,571932,100.0,100.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,590961,374360,247858,90432,1772655,250925,6138,139,113,94,1035,1291235,462080,278863,100.0,0.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,918507,630166,432270,1597,2554330,407348,2209,402,229,276,57,1951688,644874,369996,100.0,100.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,1573066,937669,635397,318569,67180,2487866,537098,3556,415,180,1050,32,1952879,674660,397654,100.0,100.0
